sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-professional-law.val.1247,mistralai/mixtral-8x7b-chat,B) WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2
mmlu-international-law.val.89,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The principle 'pacta sunt servanda' is a fundamental one in international law, which means that treaties and agreements must be kept in good faith.",WizardLM/WizardLM-13B-V1.2
hellaswag.val.4617,meta/code-llama-instruct-34b-chat,"C) Resist the urge to interrupt what they're saying. [substeps] Let them get their entire message across before giving your response.

Reasoning: The correct choice is the one that aligns with the step of",zero-one-ai/Yi-34B-Chat
grade-school-math.dev.5357,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The correct answer to the math problem is calculated as follows:
Tom gets 10 points for each enemy killed. For killing 150 enemies, he",meta/llama-2-70b-chat
hellaswag.val.2731,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The prompt describes a situation where a man is searching for his dog, which he paid to cut the grass. The most relevant answer would be the one that directly addresses",WizardLM/WizardLM-13B-V1.2
hellaswag.val.9797,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.570,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The gpt-4-1106-preview model has the highest correctness (1.0) for this prompt, indicating it is most likely to",zero-one-ai/Yi-34B-Chat
hellaswag.val.1836,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: Since the prompt describes a scene related to Christmas tree ornaments and a boy's actions, none of the models provided have specific correctness scores or costs associated with",WizardLM/WizardLM-13B-V1.2
hellaswag.val.2769,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: Since the prompt requires selecting the model with the lowest cost and the highest correctness, we would look for a model that has a correctness score of 1 (",mistralai/mistral-7b-chat
mmlu-professional-law.val.485,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,claude-instant-v1
hellaswag.val.2850,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The prompt describes a scene where a woman is interacting with a violin, which suggests a performance or demonstration. The most suitable model would be the one that",WizardLM/WizardLM-13B-V1.2
mmlu-business-ethics.val.54,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
bias_detection.dev.265,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The sentence provided is an expression of a personal view or judgement about the group's ability to exist without a specific leader. It does not present raw data",no_model_correct
consensus_summary.dev.5,gpt-4-1106-preview,gpt-4-1106-preview,claude-v1
hellaswag.val.3051,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The prompt describes a woman performing on stage with a bow, which is typically associated with playing a string instrument like a violin. Among the available models, the one",meta/llama-2-70b-chat
hellaswag.val.5313,meta/code-llama-instruct-34b-chat,C),WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.737,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The game that relies on bluffing is Balderdash, which is a word game where players make up definitions for obscure words. The correct answer is",WizardLM/WizardLM-13B-V1.2
