sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-professional-law.val.1247,gpt-4-1106-preview,"B) The skier, because the neighbor had already obtained an easement by prescription.",WizardLM/WizardLM-13B-V1.2
mmlu-international-law.val.89,gpt-4-1106-preview,D) gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.4617,mistralai/mixtral-8x7b-chat,C) meta/code-llama-instruct-34b-chat,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.5357,gpt-4-1106-preview,gpt-4-1106-preview,meta/llama-2-70b-chat
hellaswag.val.2731,mistralai/mixtral-8x7b-chat,C) mistralai/mixtral-8x7b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.9797,meta/code-llama-instruct-34b-chat,D) gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.570,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
hellaswag.val.1836,gpt-4-1106-preview,"gpt-4-1106-preview

The prompt describes a scene that is likely related to the holiday season, specifically around a Christmas tree. The actions mentioned (adding ornaments, popping bubble wrap, riding",WizardLM/WizardLM-13B-V1.2
hellaswag.val.2769,gpt-4-1106-preview,"gpt-4-1106-preview

This model is best suited because it has a correctness score of 1.0, indicating it has the highest confidence in providing the correct answer. Additionally, it has the lowest",mistralai/mistral-7b-chat
mmlu-professional-law.val.485,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,claude-instant-v1
hellaswag.val.2850,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-business-ethics.val.54,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
bias_detection.dev.265,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The sentence provided is an opinion. It expresses Marat Gabidullin's personal view regarding the necessity of Prigozhin's leadership for the",no_model_correct
consensus_summary.dev.5,gpt-4-1106-preview,gpt-4-1106-preview,claude-v1
hellaswag.val.3051,gpt-4-1106-preview,"gpt-4-1106-preview

This model is best suited because it has a correctness score of 1.0, indicating it has the highest confidence in providing the correct answer. The prompt is related to a",meta/llama-2-70b-chat
hellaswag.val.5313,mistralai/mixtral-8x7b-chat,C) mistralai/mixtral-8x7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.737,gpt-4-1106-preview,"gpt-4-1106-preview

The prompt asks for the name of a model that is best suited to answer a question about a popular game that relies on bluffing. Among the available models, ""g",WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.3702,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
hellaswag.val.6662,mistralai/mixtral-8x7b-chat,A) Spray the solution all over your tub and scrub with a long handled bathtub cleaning tool which you can buy almost anywhere cleaning supplies are sold. Here are some other items you might want to help you clean.,mistralai/mistral-7b-chat
grade-school-math.dev.5353,gpt-4-1106-preview,gpt-4-1106-preview,meta/code-llama-instruct-34b-chat
grade-school-math.dev.7313,gpt-4-1106-preview,gpt-4-1106-preview,meta/code-llama-instruct-34b-chat
mmlu-high-school-biology.val.90,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.73,meta/code-llama-instruct-34b-chat,"D) not prevail, unless the boy was negligent.

The best-suited model for this prompt would be one that understands legal principles, specifically the concept of negligence in tort law. While all the models listed",mistralai/mixtral-8x7b-chat
mmlu-business-ethics.val.77,gpt-4-1106-preview,"B) Commercial performance

The best-suited model for answering this prompt would be one that has knowledge of the UN Global Compact principles. Since the correct answer is related to the content of the UN Global Compact, any model",WizardLM/WizardLM-13B-V1.2
hellaswag.val.7889,mistralai/mixtral-8x7b-chat,C) mistralai/mixtral-8x7b-chat,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.715,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
mmlu-jurisprudence.val.67,gpt-4-1106-preview,"gpt-4-1106-preview

The most persuasive argument against the 'fair play' argument in support of a duty to obey the law among the options provided is likely B) The law is irrational",mistralai/mistral-7b-chat
hellaswag.val.2580,gpt-4-1106-preview,gpt-4-1106-preview,gpt-4-1106-preview
grade-school-math.dev.5091,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
grade-school-math.dev.7398,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.8841,meta/code-llama-instruct-34b-chat,"B) Avoid placing uncomfortable or overly thick blankets on the floor or the table during the massage, however. If the person will be sitting for the entire massage, make sure a low table, such as a chair",zero-one-ai/Yi-34B-Chat
mmlu-college-mathematics.val.52,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.1513,meta/code-llama-instruct-34b-chat,"B) Yes, because due process precludes requiring a criminal defendant to bear the burden on an issue that would make an act lawful.",no_model_correct
hellaswag.val.6403,gpt-4-1106-preview,"D) Using a wooden fork, mix all the liquids together until you have a runny gravy that's like a broth; it should be thick but clean. [substeps] It's important to stir all the liquids",zero-one-ai/Yi-34B-Chat
grade-school-math.dev.1515,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.8810,mistralai/mixtral-8x7b-chat,"A) [substeps] Some good sources can include wrapping paper, old magazines, old books, comics, and crossword puzzles. If you are unable to find anything you like in print, you can also find images you like",mistralai/mistral-7b-chat
mmlu-professional-law.val.1365,gpt-4-1106-preview,C) The market price on September 15.,mistralai/mistral-7b-chat
hellaswag.val.9743,mistralai/mixtral-8x7b-chat,A) Begin by identifying the reason you don't have a job or why you don't make enough to pay child support : [substeps] Medical illness disability layoff imprisonment other reason,mistralai/mistral-7b-chat
hellaswag.val.4227,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.3650,gpt-4-1106-preview,gpt-4-1106-preview,meta/llama-2-70b-chat
grade-school-math.dev.7183,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.2573,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.1662,gpt-4-1106-preview,"gpt-4-1106-preview

The gpt-4-1106-preview model is best suited for this prompt because it has the highest correctness score of 1.0, indicating that it",WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.235,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.2161,gpt-4-1106-preview,gpt-4-1106-preview,claude-instant-v1
hellaswag.val.5410,mistralai/mixtral-8x7b-chat,B) mistralai/mixtral-8x7b-chat,mistralai/mistral-7b-chat
hellaswag.val.551,gpt-4-1106-preview,"C) place the baking sheet in an oven.

The best-suited model for this prompt would be the one that can understand the sequence of actions described and select the option that logically follows the described activity. Since the prompt",mistralai/mixtral-8x7b-chat
mmlu-high-school-geography.val.58,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.1203,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
hellaswag.val.867,gpt-4-1106-preview,"gpt-4-1106-preview

The model gpt-4-1106-preview is best suited for this prompt because it has a correctness score of 1.0, indicating that it is",zero-one-ai/Yi-34B-Chat
