sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-professional-law.val.1247,mistralai/mixtral-8x7b-chat,mistralai/mixtral-8x7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.570,mistralai/mistral-7b-chat,D) not guilty.,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.485,gpt-4-1106-preview,gpt-4-1106-preview,claude-instant-v1
mmlu-professional-law.val.73,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.1513,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,no_model_correct
mmlu-professional-law.val.1365,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.1091,mistralai/mixtral-8x7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.185,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,gpt-4-1106-preview
mmlu-professional-law.val.598,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,gpt-3.5-turbo-1106
mmlu-professional-law.val.1314,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.409,mistralai/mixtral-8x7b-chat,mistralai/mixtral-8x7b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.113,WizardLM/WizardLM-13B-V1.2,C) An officer must have probable cause that a felony has occurred and that the arrested person committed it.,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.1067,mistralai/mistral-7b-chat,"A) denied, because double jeopardy rights do not attach unless there has been an acquittal or conviction.",no_model_correct
mmlu-professional-law.val.778,gpt-4-1106-preview,D) Hearsay,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.1010,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.1440,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.1399,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.1179,mistralai/mistral-7b-chat,B) It is constitutional because Congress can demonstrate that such a subsidy is rationally related to a legitimate public interest.,claude-instant-v1
mmlu-professional-law.val.594,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.1121,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.818,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.105,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,no_model_correct
mmlu-professional-law.val.820,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.57,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.571,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.336,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,no_model_correct
mmlu-professional-law.val.983,mistralai/mixtral-8x7b-chat,mistralai/microfilm,mistralai/mistral-7b-chat
mmlu-professional-law.val.1428,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.622,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,no_model_correct
