sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
mmlu-professional-law.val.1247,mistralai/mixtral-8x7b-chat,0.0,0.0003533999999999,0.0,0.0001178,1.0,0.0001766999999999,0.0,0.0003533999999999,0.0,0.000457064,1.0,0.0059
mmlu-professional-law.val.570,gpt-4-1106-preview,1.0,0.00319,0.0,6.36e-05,0.0,9.54e-05,0.0,0.0001908,0.0,0.000246768,1.0,0.00319
mmlu-professional-law.val.485,gpt-4-1106-preview,1.0,0.00186,0.0,3.7000000000000005e-05,0.0,5.55e-05,0.0,0.000111,0.0,0.00014356,1.0,0.00186
mmlu-professional-law.val.73,gpt-4-1106-preview,1.0,0.00193,0.0,3.8400000000000005e-05,0.0,5.76e-05,1.0,0.0001152,0.0,0.0001489919999999,1.0,0.00193
mmlu-professional-law.val.1513,gpt-4-1106-preview,0.0,0.00223,0.0,4.44e-05,0.0,6.66e-05,0.0,0.0001332,0.0,0.0001722719999999,0.0,0.00223
mmlu-professional-law.val.1365,gpt-4-1106-preview,0.0,0.0022,1.0,4.380000000000001e-05,0.0,6.57e-05,0.0,0.0001314,0.0,0.0001699439999999,0.0,0.0022
mmlu-professional-law.val.1203,gpt-4-1106-preview,1.0,0.0042,0.0,8.38e-05,0.0,0.0001257,0.0,0.0002514,0.0,0.000325144,1.0,0.0042
mmlu-professional-law.val.1091,gpt-4-1106-preview,1.0,0.00427,1.0,8.46e-05,0.0,0.0001269,1.0,0.0002532,0.0,0.000328248,1.0,0.00427
mmlu-professional-law.val.185,gpt-4-1106-preview,1.0,0.002,0.0,3.980000000000001e-05,0.0,5.97e-05,0.0,0.0001193999999999,0.0,0.000154424,1.0,0.002
mmlu-professional-law.val.598,gpt-4-1106-preview,1.0,0.00245,0.0,4.8200000000000006e-05,0.0,7.230000000000001e-05,0.0,0.0001446,0.0,0.000187016,1.0,0.00245
mmlu-professional-law.val.698,gpt-4-1106-preview,1.0,0.00365,0.0,7.280000000000001e-05,0.0,0.0001092,0.0,0.0002184,0.0,0.000282464,1.0,0.00365
mmlu-professional-law.val.1314,gpt-4-1106-preview,1.0,0.00234,1.0,4.660000000000001e-05,0.0,6.989999999999999e-05,1.0,0.0001397999999999,0.0,0.000180808,1.0,0.00234
mmlu-professional-law.val.409,gpt-4-1106-preview,0.0,0.00354,1.0,7.06e-05,0.0,0.0001059,0.0,0.0002118,0.0,0.000273928,0.0,0.00354
mmlu-professional-law.val.113,meta/code-llama-instruct-34b-chat,0.0,0.00010864,0.0,2.8e-05,0.0,4.2e-05,1.0,8.4e-05,0.0,0.00010864,1.0,0.00141
mmlu-professional-law.val.1067,gpt-4-1106-preview,0.0,0.00334,0.0,6.659999999999999e-05,0.0,9.99e-05,0.0,0.0001998,0.0,0.0002584079999999,0.0,0.00334
mmlu-professional-law.val.778,gpt-4-1106-preview,1.0,0.00078,0.0,1.54e-05,1.0,2.31e-05,1.0,4.6200000000000005e-05,0.0,5.9752000000000007e-05,1.0,0.00078
mmlu-professional-law.val.1010,meta/code-llama-instruct-34b-chat,0.0,8.846400000000001e-05,0.0,2.28e-05,1.0,3.4200000000000005e-05,1.0,6.840000000000001e-05,0.0,8.846400000000001e-05,1.0,0.00115
mmlu-professional-law.val.1440,gpt-4-1106-preview,1.0,0.00235,0.0,4.6800000000000006e-05,0.0,7.02e-05,0.0,0.0001404,0.0,0.000181584,1.0,0.00235
mmlu-professional-law.val.1399,gpt-4-1106-preview,1.0,0.00341,0.0,6.74e-05,1.0,0.0001011,0.0,0.0002022,0.0,0.000261512,1.0,0.00341
mmlu-professional-law.val.1179,gpt-4-1106-preview,0.0,0.00231,0.0,4.600000000000001e-05,0.0,6.9e-05,0.0,0.000138,0.0,0.0001784799999999,0.0,0.00231
mmlu-professional-law.val.594,gpt-4-1106-preview,1.0,0.00297,0.0,5.920000000000001e-05,0.0,8.88e-05,1.0,0.0001776,0.0,0.000229696,1.0,0.00297
mmlu-professional-law.val.1121,mistralai/mixtral-8x7b-chat,0.0,0.0001998,1.0,6.659999999999999e-05,0.0,9.99e-05,0.0,0.0001998,0.0,0.0002584079999999,1.0,0.00334
mmlu-professional-law.val.818,gpt-4-1106-preview,1.0,0.00304,0.0,6.06e-05,1.0,9.09e-05,1.0,0.0001818,0.0,0.0002351279999999,1.0,0.00304
mmlu-professional-law.val.105,gpt-4-1106-preview,0.0,0.00209,0.0,4.160000000000001e-05,0.0,6.24e-05,0.0,0.0001248,0.0,0.0001614079999999,0.0,0.00209
mmlu-professional-law.val.820,gpt-4-1106-preview,1.0,0.00254,1.0,5.06e-05,1.0,7.59e-05,0.0,0.0001518,0.0,0.000196328,1.0,0.00254
mmlu-professional-law.val.1106,gpt-4-1106-preview,0.0,0.00368,1.0,7.34e-05,0.0,0.0001101,1.0,0.0002202,0.0,0.000284792,0.0,0.00368
mmlu-professional-law.val.57,gpt-4-1106-preview,1.0,0.00302,0.0,6.0200000000000006e-05,1.0,9.03e-05,1.0,0.0001806,0.0,0.000233576,1.0,0.00302
mmlu-professional-law.val.245,gpt-4-1106-preview,1.0,0.00767,0.0,0.0001532,0.0,0.0002297999999999,1.0,0.0004595999999999,0.0,0.000594416,1.0,0.00767
mmlu-professional-law.val.571,gpt-4-1106-preview,1.0,0.00292,0.0,5.8200000000000005e-05,0.0,8.730000000000001e-05,1.0,0.0001746,0.0,0.000225816,1.0,0.00292
mmlu-professional-law.val.336,gpt-4-1106-preview,0.0,0.00211,0.0,4.2e-05,0.0,6.3e-05,0.0,0.000126,0.0,0.00016296,0.0,0.00211
mmlu-professional-law.val.983,mistralai/mixtral-8x7b-chat,0.0,9.66e-05,1.0,3.2200000000000003e-05,1.0,4.83e-05,0.0,9.66e-05,0.0,0.000124936,1.0,0.00165
mmlu-professional-law.val.1428,gpt-4-1106-preview,1.0,0.0011,0.0,2.18e-05,1.0,3.27e-05,1.0,6.54e-05,0.0,8.4584e-05,1.0,0.0011
mmlu-professional-law.val.622,gpt-4-1106-preview,0.0,0.00243,0.0,4.84e-05,0.0,7.26e-05,0.0,0.0001452,0.0,0.000187792,0.0,0.00243
mmlu-professional-law.val.267,mistralai/mixtral-8x7b-chat,1.0,0.0001404,0.0,4.6800000000000006e-05,1.0,7.02e-05,1.0,0.0001404,0.0,0.000181584,1.0,0.00235
mmlu-professional-law.val.89,gpt-4-1106-preview,0.0,0.00598,1.0,0.0001188,0.0,0.0001782,0.0,0.0003564,0.0,0.0004609439999999,0.0,0.00598
mmlu-professional-law.val.965,mistralai/mixtral-8x7b-chat,1.0,0.0002106,0.0,7.02e-05,1.0,0.0001053,1.0,0.0002106,0.0,0.000272376,1.0,0.00352
mmlu-professional-law.val.1482,mistralai/mistral-7b-chat,0.0,5.1000000000000006e-05,0.0,5.1000000000000006e-05,1.0,7.649999999999999e-05,0.0,0.0001529999999999,0.0,0.00019788,1.0,0.00256
mmlu-professional-law.val.722,gpt-4-1106-preview,0.0,0.00397,0.0,7.920000000000001e-05,0.0,0.0001187999999999,0.0,0.0002375999999999,0.0,0.000307296,0.0,0.00397
mmlu-professional-law.val.1171,gpt-4-1106-preview,1.0,0.00206,0.0,4.100000000000001e-05,1.0,6.149999999999999e-05,1.0,0.0001229999999999,0.0,0.0001590799999999,1.0,0.00206
mmlu-professional-law.val.856,gpt-4-1106-preview,1.0,0.0027,0.0,5.380000000000001e-05,1.0,8.07e-05,1.0,0.0001614,0.0,0.000208744,1.0,0.0027
mmlu-professional-law.val.645,gpt-4-1106-preview,1.0,0.00249,0.0,4.9600000000000006e-05,1.0,7.439999999999999e-05,1.0,0.0001487999999999,0.0,0.000192448,1.0,0.00249
mmlu-professional-law.val.465,gpt-4-1106-preview,0.0,0.0032,0.0,6.38e-05,0.0,9.57e-05,0.0,0.0001914,0.0,0.000247544,0.0,0.0032
mmlu-professional-law.val.517,gpt-4-1106-preview,1.0,0.00303,0.0,6.04e-05,1.0,9.06e-05,1.0,0.0001812,0.0,0.000234352,1.0,0.00303
mmlu-professional-law.val.1053,gpt-4-1106-preview,1.0,0.00347,0.0,6.919999999999999e-05,1.0,0.0001038,0.0,0.0002076,0.0,0.000268496,1.0,0.00347
mmlu-professional-law.val.480,gpt-4-1106-preview,1.0,0.00292,0.0,5.8200000000000005e-05,0.0,8.730000000000001e-05,1.0,0.0001746,0.0,0.000225816,1.0,0.00292
mmlu-professional-law.val.959,gpt-4-1106-preview,0.0,0.00218,0.0,4.280000000000001e-05,1.0,6.42e-05,0.0,0.0001284,0.0,0.000166064,0.0,0.00218
mmlu-professional-law.val.1311,gpt-4-1106-preview,0.0,0.00356,0.0,7.1e-05,0.0,0.0001064999999999,0.0,0.0002129999999999,0.0,0.00027548,0.0,0.00356
mmlu-professional-law.val.627,mistralai/mistral-7b-chat,0.0,3.4000000000000007e-05,0.0,3.4000000000000007e-05,0.0,5.1e-05,0.0,0.000102,0.0,0.0001319199999999,0.0,0.00174
mmlu-professional-law.val.679,gpt-4-1106-preview,1.0,0.00193,0.0,3.8400000000000005e-05,0.0,5.76e-05,1.0,0.0001152,0.0,0.0001489919999999,1.0,0.00193
mmlu-professional-law.val.1181,gpt-4-1106-preview,1.0,0.00319,0.0,6.36e-05,1.0,9.54e-05,1.0,0.0001908,0.0,0.000246768,1.0,0.00319
mmlu-professional-law.val.1359,gpt-4-1106-preview,1.0,0.00256,0.0,5.1000000000000006e-05,0.0,7.649999999999999e-05,0.0,0.0001529999999999,0.0,0.00019788,1.0,0.00256
mmlu-professional-law.val.9,gpt-4-1106-preview,0.0,0.00311,1.0,6.2e-05,0.0,9.3e-05,1.0,0.000186,0.0,0.00024056,0.0,0.00311
mmlu-professional-law.val.734,gpt-4-1106-preview,0.0,0.00208,1.0,4.080000000000001e-05,0.0,6.12e-05,1.0,0.0001224,0.0,0.000158304,0.0,0.00208
mmlu-professional-law.val.225,gpt-4-1106-preview,1.0,0.00197,0.0,3.92e-05,0.0,5.88e-05,0.0,0.0001176,0.0,0.000152096,1.0,0.00197
mmlu-professional-law.val.1487,mistralai/mistral-7b-chat,1.0,8.34e-05,1.0,8.34e-05,1.0,0.0001250999999999,1.0,0.0002496,0.0,0.000323592,1.0,0.00418
mmlu-professional-law.val.1224,gpt-4-1106-preview,1.0,0.00252,1.0,4.9600000000000006e-05,0.0,7.439999999999999e-05,0.0,0.0001487999999999,0.0,0.000192448,1.0,0.00252
mmlu-professional-law.val.1370,gpt-4-1106-preview,1.0,0.00262,0.0,5.220000000000001e-05,0.0,7.83e-05,1.0,0.0001566,0.0,0.000202536,1.0,0.00262
mmlu-professional-law.val.1192,mistralai/mistral-7b-chat,0.0,6.56e-05,0.0,6.56e-05,1.0,9.84e-05,0.0,0.0001961999999999,0.0,0.000254528,0.0,0.00329
mmlu-professional-law.val.1402,gpt-4-1106-preview,1.0,0.0045299999999999,1.0,9.04e-05,0.0,0.0001356,1.0,0.0002712,0.0,0.0003507519999999,1.0,0.0045299999999999
mmlu-professional-law.val.102,gpt-4-1106-preview,1.0,0.00314,0.0,6.26e-05,1.0,9.39e-05,1.0,0.0001877999999999,0.0,0.000242888,1.0,0.00314
mmlu-professional-law.val.443,gpt-4-1106-preview,0.0,0.00289,1.0,5.76e-05,0.0,8.64e-05,0.0,0.0001728,0.0,0.0002234879999999,0.0,0.00289
mmlu-professional-law.val.814,gpt-4-1106-preview,1.0,0.00355,0.0,7.08e-05,0.0,0.0001061999999999,1.0,0.0002123999999999,0.0,0.0002747039999999,1.0,0.00355
mmlu-professional-law.val.101,gpt-4-1106-preview,0.0,0.002,0.0,3.980000000000001e-05,0.0,5.97e-05,0.0,0.0001193999999999,0.0,0.000154424,0.0,0.002
mmlu-professional-law.val.379,gpt-4-1106-preview,1.0,0.00197,0.0,3.86e-05,0.0,5.79e-05,0.0,0.0001158,0.0,0.000149768,1.0,0.00197
mmlu-professional-law.val.1475,meta/code-llama-instruct-34b-chat,0.0,0.000234352,0.0,6.04e-05,1.0,9.06e-05,1.0,0.0001812,0.0,0.000234352,1.0,0.00303
mmlu-professional-law.val.716,gpt-4-1106-preview,0.0,0.00231,0.0,4.600000000000001e-05,0.0,6.9e-05,0.0,0.000138,0.0,0.0001784799999999,0.0,0.00231
mmlu-professional-law.val.912,mistralai/mistral-7b-chat,1.0,3.1e-05,1.0,3.1e-05,1.0,4.65e-05,1.0,9.3e-05,0.0,0.00012028,1.0,0.00156
mmlu-professional-law.val.210,gpt-4-1106-preview,1.0,0.00257,0.0,5.12e-05,0.0,7.680000000000001e-05,1.0,0.0001536,0.0,0.000198656,1.0,0.00257
mmlu-professional-law.val.1309,gpt-4-1106-preview,1.0,0.00244,0.0,4.860000000000001e-05,0.0,7.29e-05,0.0,0.0001458,0.0,0.000188568,1.0,0.00244
mmlu-professional-law.val.841,gpt-4-1106-preview,0.0,0.00352,0.0,7.02e-05,0.0,0.0001053,0.0,0.0002106,0.0,0.000272376,0.0,0.00352
mmlu-professional-law.val.1052,gpt-4-1106-preview,0.0,0.00353,0.0,7.039999999999999e-05,0.0,0.0001056,0.0,0.0002112,0.0,0.000273152,0.0,0.00353
mmlu-professional-law.val.1473,gpt-4-1106-preview,0.0,0.00245,0.0,4.880000000000001e-05,0.0,7.319999999999999e-05,0.0,0.0001463999999999,0.0,0.0001893439999999,0.0,0.00245
mmlu-professional-law.val.112,gpt-4-1106-preview,1.0,0.0034,0.0,6.780000000000001e-05,1.0,0.0001016999999999,1.0,0.0002033999999999,0.0,0.000263064,1.0,0.0034
mmlu-professional-law.val.643,mistralai/mistral-7b-chat,0.0,2.82e-05,0.0,2.82e-05,0.0,4.23e-05,1.0,8.46e-05,0.0,0.000109416,1.0,0.00142
mmlu-professional-law.val.153,gpt-4-1106-preview,1.0,0.0036,0.0,7.12e-05,0.0,0.0001068,0.0,0.0002136,0.0,0.000276256,1.0,0.0036
mmlu-professional-law.val.631,gpt-4-1106-preview,1.0,0.0025,1.0,4.920000000000001e-05,0.0,7.38e-05,1.0,0.0001476,0.0,0.0001908959999999,1.0,0.0025
mmlu-professional-law.val.53,gpt-4-1106-preview,1.0,0.0029,0.0,5.780000000000001e-05,0.0,8.669999999999999e-05,0.0,0.0001733999999999,0.0,0.000224264,1.0,0.0029
mmlu-professional-law.val.54,gpt-4-1106-preview,1.0,0.00275,1.0,5.480000000000001e-05,1.0,8.219999999999999e-05,1.0,0.0001643999999999,0.0,0.000212624,1.0,0.00275
mmlu-professional-law.val.590,gpt-4-1106-preview,0.0,0.00345,0.0,6.88e-05,0.0,0.0001032,0.0,0.0002064,0.0,0.0002669439999999,0.0,0.00345
mmlu-professional-law.val.1297,meta/code-llama-instruct-34b-chat,0.0,0.000239008,0.0,6.159999999999999e-05,1.0,9.24e-05,0.0,0.0001848,0.0,0.000239008,0.0,0.00309
mmlu-professional-law.val.412,mistralai/mistral-7b-chat,1.0,5.660000000000001e-05,1.0,5.660000000000001e-05,0.0,8.49e-05,1.0,0.0001698,0.0,0.000219608,1.0,0.00284
mmlu-professional-law.val.230,gpt-4-1106-preview,0.0,0.00271,1.0,5.4000000000000005e-05,0.0,8.099999999999999e-05,0.0,0.0001619999999999,0.0,0.00020952,0.0,0.00271
mmlu-professional-law.val.1212,gpt-4-1106-preview,1.0,0.0042099999999999,0.0,8.400000000000001e-05,1.0,0.0001259999999999,0.0,0.0002519999999999,0.0,0.00032592,1.0,0.0042099999999999
mmlu-professional-law.val.1529,gpt-4-1106-preview,1.0,0.00293,0.0,5.84e-05,0.0,8.76e-05,1.0,0.0001752,0.0,0.000226592,1.0,0.00293
mmlu-professional-law.val.372,gpt-4-1106-preview,1.0,0.00206,0.0,4.100000000000001e-05,0.0,6.149999999999999e-05,1.0,0.0001229999999999,0.0,0.0001590799999999,1.0,0.00206
mmlu-professional-law.val.827,gpt-4-1106-preview,0.0,0.00471,1.0,9.4e-05,0.0,0.0001409999999999,0.0,0.0002819999999999,0.0,0.00036472,0.0,0.00471
mmlu-professional-law.val.564,gpt-4-1106-preview,0.0,0.00302,0.0,6.0200000000000006e-05,0.0,9.03e-05,0.0,0.0001806,0.0,0.000233576,0.0,0.00302
mmlu-professional-law.val.969,gpt-4-1106-preview,0.0,0.00265,1.0,5.220000000000001e-05,0.0,7.83e-05,1.0,0.0001566,0.0,0.000202536,0.0,0.00265
mmlu-professional-law.val.260,gpt-4-1106-preview,1.0,0.00298,0.0,5.94e-05,0.0,8.91e-05,1.0,0.0001782,0.0,0.000230472,1.0,0.00298
mmlu-professional-law.val.738,gpt-4-1106-preview,1.0,0.00361,0.0,7.2e-05,0.0,0.000108,0.0,0.000216,0.0,0.00027936,1.0,0.00361
mmlu-professional-law.val.621,gpt-4-1106-preview,1.0,0.00374,0.0,7.46e-05,1.0,0.0001119,1.0,0.0002238,0.0,0.000289448,1.0,0.00374
mmlu-professional-law.val.1472,gpt-4-1106-preview,0.0,0.00416,0.0,8.3e-05,0.0,0.0001245,0.0,0.000249,0.0,0.00032204,0.0,0.00416
mmlu-professional-law.val.31,gpt-4-1106-preview,1.0,0.00287,0.0,5.720000000000001e-05,1.0,8.58e-05,1.0,0.0001716,0.0,0.000221936,1.0,0.00287
mmlu-professional-law.val.279,gpt-4-1106-preview,1.0,0.00345,0.0,6.88e-05,0.0,0.0001032,0.0,0.0002064,0.0,0.0002669439999999,1.0,0.00345
mmlu-professional-law.val.1280,gpt-4-1106-preview,1.0,0.00416,0.0,8.3e-05,0.0,0.0001245,1.0,0.000249,0.0,0.00032204,1.0,0.00416
mmlu-professional-law.val.127,gpt-4-1106-preview,0.0,0.0045,1.0,8.98e-05,1.0,0.0001347,1.0,0.0002694,0.0,0.000348424,0.0,0.0045
mmlu-professional-law.val.612,gpt-4-1106-preview,0.0,0.00295,0.0,5.8800000000000006e-05,0.0,8.819999999999999e-05,0.0,0.0001763999999999,0.0,0.000228144,0.0,0.00295
mmlu-professional-law.val.148,gpt-4-1106-preview,0.0,0.00246,1.0,4.9000000000000005e-05,0.0,7.35e-05,1.0,0.000147,0.0,0.00019012,0.0,0.00246
mmlu-professional-law.val.1441,gpt-4-1106-preview,1.0,0.00196,1.0,3.9000000000000006e-05,0.0,5.85e-05,0.0,0.000117,0.0,0.0001513199999999,1.0,0.00196
mmlu-professional-law.val.1184,gpt-4-1106-preview,1.0,0.00248,0.0,4.94e-05,1.0,7.41e-05,1.0,0.0001482,0.0,0.000191672,1.0,0.00248
mmlu-professional-law.val.1228,gpt-4-1106-preview,1.0,0.00259,0.0,5.160000000000001e-05,1.0,7.74e-05,1.0,0.0001548,0.0,0.000200208,1.0,0.00259
mmlu-professional-law.val.1486,mistralai/mixtral-8x7b-chat,1.0,0.0002046,0.0,6.819999999999999e-05,0.0,0.0001023,1.0,0.0002046,0.0,0.000264616,1.0,0.00342
mmlu-professional-law.val.1146,gpt-4-1106-preview,1.0,0.00198,0.0,3.94e-05,0.0,5.91e-05,0.0,0.0001182,0.0,0.0001528719999999,1.0,0.00198
mmlu-professional-law.val.1517,gpt-4-1106-preview,1.0,0.0027,0.0,5.380000000000001e-05,1.0,8.07e-05,1.0,0.0001614,0.0,0.000208744,1.0,0.0027
mmlu-professional-law.val.1084,gpt-4-1106-preview,0.0,0.00199,1.0,3.9000000000000006e-05,0.0,5.85e-05,0.0,0.000117,0.0,0.0001513199999999,0.0,0.00199
mmlu-professional-law.val.618,gpt-4-1106-preview,0.0,0.00358,0.0,7.08e-05,1.0,0.0001061999999999,0.0,0.0002123999999999,0.0,0.0002747039999999,0.0,0.00358
mmlu-professional-law.val.1494,gpt-4-1106-preview,1.0,0.0023,1.0,4.580000000000001e-05,0.0,6.869999999999999e-05,0.0,0.0001373999999999,0.0,0.000177704,1.0,0.0023
mmlu-professional-law.val.520,gpt-4-1106-preview,1.0,0.0009199999999999,0.0,1.82e-05,0.0,2.73e-05,0.0,5.46e-05,0.0,7.0616e-05,1.0,0.0009199999999999
mmlu-professional-law.val.202,gpt-4-1106-preview,0.0,0.00441,0.0,8.74e-05,0.0,0.0001311,0.0,0.0002622,0.0,0.000339112,0.0,0.00441
mmlu-professional-law.val.1393,gpt-4-1106-preview,1.0,0.00324,0.0,6.46e-05,1.0,9.69e-05,1.0,0.0001938,0.0,0.000250648,1.0,0.00324
mmlu-professional-law.val.254,gpt-4-1106-preview,1.0,0.00268,1.0,5.34e-05,1.0,8.01e-05,1.0,0.0001602,0.0,0.000207192,1.0,0.00268
mmlu-professional-law.val.857,mistralai/mixtral-8x7b-chat,0.0,0.0002003999999999,0.0,6.7e-05,0.0,0.0001004999999999,0.0,0.0002003999999999,0.0,0.00025996,1.0,0.00336
mmlu-professional-law.val.1265,mistralai/mistral-7b-chat,0.0,2.72e-05,0.0,2.72e-05,0.0,4.08e-05,1.0,8.159999999999999e-05,0.0,0.000105536,1.0,0.00137
mmlu-professional-law.val.891,gpt-4-1106-preview,1.0,0.00333,1.0,6.58e-05,0.0,9.87e-05,1.0,0.0001974,0.0,0.000255304,1.0,0.00333
mmlu-professional-law.val.1316,gpt-4-1106-preview,1.0,0.00206,0.0,4.100000000000001e-05,0.0,6.149999999999999e-05,1.0,0.0001229999999999,0.0,0.0001590799999999,1.0,0.00206
mmlu-professional-law.val.335,gpt-4-1106-preview,1.0,0.00418,0.0,8.34e-05,0.0,0.0001250999999999,0.0,0.0002501999999999,0.0,0.000323592,1.0,0.00418
mmlu-professional-law.val.556,gpt-4-1106-preview,1.0,0.00254,0.0,5.06e-05,0.0,7.59e-05,0.0,0.0001518,0.0,0.000196328,1.0,0.00254
mmlu-professional-law.val.640,gpt-4-1106-preview,1.0,0.00278,0.0,5.5400000000000005e-05,0.0,8.31e-05,0.0,0.0001662,0.0,0.000214952,1.0,0.00278
mmlu-professional-law.val.866,gpt-4-1106-preview,1.0,0.00229,0.0,4.56e-05,1.0,6.84e-05,1.0,0.0001368,0.0,0.000176928,1.0,0.00229
mmlu-professional-law.val.1206,gpt-4-1106-preview,0.0,0.00255,0.0,5.080000000000001e-05,1.0,7.62e-05,1.0,0.0001524,0.0,0.0001971039999999,0.0,0.00255
mmlu-professional-law.val.5,gpt-4-1106-preview,1.0,0.00125,0.0,2.4800000000000003e-05,0.0,3.72e-05,1.0,7.44e-05,0.0,9.6224e-05,1.0,0.00125
mmlu-professional-law.val.1225,gpt-4-1106-preview,0.0,0.0015899999999999,0.0,3.1e-05,0.0,4.65e-05,1.0,9.3e-05,0.0,0.00012028,0.0,0.0015899999999999
mmlu-professional-law.val.667,gpt-4-1106-preview,1.0,0.00299,0.0,5.9600000000000005e-05,1.0,8.94e-05,1.0,0.0001788,0.0,0.0002312479999999,1.0,0.00299
mmlu-professional-law.val.1120,gpt-4-1106-preview,1.0,0.00264,0.0,5.260000000000001e-05,1.0,7.89e-05,1.0,0.0001578,0.0,0.000204088,1.0,0.00264
mmlu-professional-law.val.581,gpt-4-1106-preview,0.0,0.00323,0.0,6.44e-05,0.0,9.66e-05,0.0,0.0001932,0.0,0.000249872,0.0,0.00323
mmlu-professional-law.val.1518,gpt-4-1106-preview,1.0,0.00333,0.0,6.64e-05,1.0,9.96e-05,1.0,0.0001992,0.0,0.000257632,1.0,0.00333
mmlu-professional-law.val.133,gpt-4-1106-preview,1.0,0.00173,0.0,3.44e-05,1.0,5.16e-05,0.0,0.0001032,0.0,0.000133472,1.0,0.00173
mmlu-professional-law.val.43,gpt-4-1106-preview,1.0,0.00154,0.0,3.0600000000000005e-05,0.0,4.59e-05,1.0,9.18e-05,0.0,0.000118728,1.0,0.00154
mmlu-professional-law.val.660,mistralai/mixtral-8x7b-chat,0.0,0.0002477999999999,0.0,8.26e-05,0.0,0.0001238999999999,0.0,0.0002477999999999,0.0,0.000320488,0.0,0.00414
mmlu-professional-law.val.989,gpt-4-1106-preview,0.0,0.00188,0.0,3.74e-05,1.0,5.61e-05,1.0,0.0001122,0.0,0.000145112,0.0,0.00188
mmlu-professional-law.val.448,mistralai/mistral-7b-chat,0.0,2.08e-05,0.0,2.08e-05,1.0,3.12e-05,0.0,6.24e-05,0.0,8.0704e-05,0.0,0.00105
