sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-professional-law.val.1247,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2
mmlu-international-law.val.89,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.4617,mistralai/mistral-7b-chat,C) Resist the urge to interrupt what they're saying. [substeps] Let them get their entire message across before giving your response.,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.5357,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2,meta/llama-2-70b-chat
hellaswag.val.2731,mistralai/mistral-7b-chat,"mistralai/mistral-7b-chat

The prompt describes a situation where a man is searching for his dog, which he paid to cut the grass. The correct answer would be the one that best fits this scenario. Among",WizardLM/WizardLM-13B-V1.2
hellaswag.val.9797,mistralai/mixtral-8x7b-chat,"D) Read as much as you can, and most importantly, trust your gut. Below are some examples of poly-specific abuse patterns.

The model ""D"" is the most appropriate choice for this prompt as it directly addresses the",zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.570,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
hellaswag.val.1836,WizardLM/WizardLM-13B-V1.2,"WizardLM/WizardLM-13B-V1.2

The prompt describes a scene that is likely to be related to a child's playful interaction with a Christmas tree, which involves physical activity and possibly a to",WizardLM/WizardLM-13B-V1.2
hellaswag.val.2769,gpt-4-1106-preview,"gpt-4-1106-preview

This model is chosen based on the correctness score provided in the original instruction, which indicates a high likelihood of providing the correct answer. The gpt-4-110",mistralai/mistral-7b-chat
mmlu-professional-law.val.485,WizardLM/WizardLM-13B-V1.2,"WizardLM/WizardLM-13B-V1.2

The prompt requires an understanding of the U.S. Constitution, specifically the powers of the President and the Commerce Clause. The President's authority to",claude-instant-v1
hellaswag.val.2850,mistralai/mistral-7b-chat,"mistralai/mistral-7b-chat

This model is chosen based on the correctness score provided in the original instruction, which indicates a high likelihood of providing the correct answer. The prompt describes a scene where a woman",WizardLM/WizardLM-13B-V1.2
mmlu-business-ethics.val.54,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2
bias_detection.dev.265,mistralai/mistral-7b-chat,"mistralai/mistral-7b-chat

Reasoning: The sentence provided is an opinion. It expresses Marat Gabidullin's doubt about the group's existence without Prigozhin's",no_model_correct
consensus_summary.dev.5,gpt-4-1106-preview,gpt-4-1106-preview,claude-v1
hellaswag.val.3051,WizardLM/WizardLM-13B-V1.2,"WizardLM/WizardLM-13B-V1.2

The prompt describes a woman playing a string instrument with a bow, which is characteristic of a violin. Among the given options, the one that best fits this",meta/llama-2-70b-chat
hellaswag.val.5313,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.737,WizardLM/WizardLM-13B-V1.2,"B) Balderdash

The best-suited model for this prompt would be one that has a high correctness score for identifying games that involve bluffing. Based on the previous examples, we can infer that a model with a",WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.3702,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
