sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
mmlu-professional-law.val.1247,mistralai/mixtral-8x7b-chat,0.0,0.0003533999999999,0.0,0.0001178,1.0,0.0001766999999999,0.0,0.0003533999999999,0.0,0.000457064,1.0,0.0059
mmlu-professional-law.val.570,mistralai/mistral-7b-chat,0.0,6.36e-05,0.0,6.36e-05,0.0,9.54e-05,0.0,0.0001908,0.0,0.000246768,1.0,0.00319
mmlu-professional-law.val.485,gpt-4-1106-preview,1.0,0.00186,0.0,3.7000000000000005e-05,0.0,5.55e-05,0.0,0.000111,0.0,0.00014356,1.0,0.00186
mmlu-professional-law.val.73,mistralai/mistral-7b-chat,0.0,3.8400000000000005e-05,0.0,3.8400000000000005e-05,0.0,5.76e-05,1.0,0.0001152,0.0,0.0001489919999999,1.0,0.00193
mmlu-professional-law.val.1513,mistralai/mistral-7b-chat,0.0,4.44e-05,0.0,4.44e-05,0.0,6.66e-05,0.0,0.0001332,0.0,0.0001722719999999,0.0,0.00223
mmlu-professional-law.val.1365,mistralai/mistral-7b-chat,1.0,4.380000000000001e-05,1.0,4.380000000000001e-05,0.0,6.57e-05,0.0,0.0001314,0.0,0.0001699439999999,0.0,0.0022
mmlu-professional-law.val.1091,mistralai/mixtral-8x7b-chat,1.0,0.0002532,1.0,8.46e-05,0.0,0.0001269,1.0,0.0002532,0.0,0.000328248,1.0,0.00427
mmlu-professional-law.val.185,mistralai/mistral-7b-chat,0.0,3.980000000000001e-05,0.0,3.980000000000001e-05,0.0,5.97e-05,0.0,0.0001193999999999,0.0,0.000154424,1.0,0.002
mmlu-professional-law.val.598,mistralai/mistral-7b-chat,0.0,4.8200000000000006e-05,0.0,4.8200000000000006e-05,0.0,7.230000000000001e-05,0.0,0.0001446,0.0,0.000187016,1.0,0.00245
mmlu-professional-law.val.1314,mistralai/mistral-7b-chat,1.0,4.660000000000001e-05,1.0,4.660000000000001e-05,0.0,6.989999999999999e-05,1.0,0.0001397999999999,0.0,0.000180808,1.0,0.00234
mmlu-professional-law.val.409,mistralai/mixtral-8x7b-chat,0.0,0.0002118,1.0,7.06e-05,0.0,0.0001059,0.0,0.0002118,0.0,0.000273928,0.0,0.00354
mmlu-professional-law.val.113,WizardLM/WizardLM-13B-V1.2,0.0,4.2e-05,0.0,2.8e-05,0.0,4.2e-05,1.0,8.4e-05,0.0,0.00010864,1.0,0.00141
mmlu-professional-law.val.1067,mistralai/mistral-7b-chat,0.0,6.659999999999999e-05,0.0,6.659999999999999e-05,0.0,9.99e-05,0.0,0.0001998,0.0,0.0002584079999999,0.0,0.00334
mmlu-professional-law.val.778,gpt-4-1106-preview,1.0,0.00078,0.0,1.54e-05,1.0,2.31e-05,1.0,4.6200000000000005e-05,0.0,5.9752000000000007e-05,1.0,0.00078
mmlu-professional-law.val.1010,mistralai/mistral-7b-chat,0.0,2.28e-05,0.0,2.28e-05,1.0,3.4200000000000005e-05,1.0,6.840000000000001e-05,0.0,8.846400000000001e-05,1.0,0.00115
mmlu-professional-law.val.1440,gpt-4-1106-preview,1.0,0.00235,0.0,4.6800000000000006e-05,0.0,7.02e-05,0.0,0.0001404,0.0,0.000181584,1.0,0.00235
mmlu-professional-law.val.1399,mistralai/mistral-7b-chat,0.0,6.74e-05,0.0,6.74e-05,1.0,0.0001011,0.0,0.0002022,0.0,0.000261512,1.0,0.00341
mmlu-professional-law.val.1179,mistralai/mistral-7b-chat,0.0,4.600000000000001e-05,0.0,4.600000000000001e-05,0.0,6.9e-05,0.0,0.000138,0.0,0.0001784799999999,0.0,0.00231
mmlu-professional-law.val.594,mistralai/mistral-7b-chat,0.0,5.920000000000001e-05,0.0,5.920000000000001e-05,0.0,8.88e-05,1.0,0.0001776,0.0,0.000229696,1.0,0.00297
mmlu-professional-law.val.1121,mistralai/mistral-7b-chat,1.0,6.659999999999999e-05,1.0,6.659999999999999e-05,0.0,9.99e-05,0.0,0.0001998,0.0,0.0002584079999999,1.0,0.00334
mmlu-professional-law.val.818,mistralai/mistral-7b-chat,0.0,6.06e-05,0.0,6.06e-05,1.0,9.09e-05,1.0,0.0001818,0.0,0.0002351279999999,1.0,0.00304
mmlu-professional-law.val.105,mistralai/mistral-7b-chat,0.0,4.160000000000001e-05,0.0,4.160000000000001e-05,0.0,6.24e-05,0.0,0.0001248,0.0,0.0001614079999999,0.0,0.00209
mmlu-professional-law.val.820,mistralai/mistral-7b-chat,1.0,5.06e-05,1.0,5.06e-05,1.0,7.59e-05,0.0,0.0001518,0.0,0.000196328,1.0,0.00254
mmlu-professional-law.val.57,mistralai/mistral-7b-chat,0.0,6.0200000000000006e-05,0.0,6.0200000000000006e-05,1.0,9.03e-05,1.0,0.0001806,0.0,0.000233576,1.0,0.00302
mmlu-professional-law.val.571,mistralai/mistral-7b-chat,0.0,5.8200000000000005e-05,0.0,5.8200000000000005e-05,0.0,8.730000000000001e-05,1.0,0.0001746,0.0,0.000225816,1.0,0.00292
mmlu-professional-law.val.336,mistralai/mistral-7b-chat,0.0,4.2e-05,0.0,4.2e-05,0.0,6.3e-05,0.0,0.000126,0.0,0.00016296,0.0,0.00211
mmlu-professional-law.val.983,mistralai/mixtral-8x7b-chat,0.0,9.66e-05,1.0,3.2200000000000003e-05,1.0,4.83e-05,0.0,9.66e-05,0.0,0.000124936,1.0,0.00165
mmlu-professional-law.val.1428,mistralai/mistral-7b-chat,0.0,2.18e-05,0.0,2.18e-05,1.0,3.27e-05,1.0,6.54e-05,0.0,8.4584e-05,1.0,0.0011
mmlu-professional-law.val.622,mistralai/mistral-7b-chat,0.0,4.84e-05,0.0,4.84e-05,0.0,7.26e-05,0.0,0.0001452,0.0,0.000187792,0.0,0.00243
mmlu-professional-law.val.267,mistralai/mixtral-8x7b-chat,1.0,0.0001404,0.0,4.6800000000000006e-05,1.0,7.02e-05,1.0,0.0001404,0.0,0.000181584,1.0,0.00235
mmlu-professional-law.val.1482,mistralai/mistral-7b-chat,0.0,5.1000000000000006e-05,0.0,5.1000000000000006e-05,1.0,7.649999999999999e-05,0.0,0.0001529999999999,0.0,0.00019788,1.0,0.00256
mmlu-professional-law.val.1171,mistralai/mistral-7b-chat,0.0,4.100000000000001e-05,0.0,4.100000000000001e-05,1.0,6.149999999999999e-05,1.0,0.0001229999999999,0.0,0.0001590799999999,1.0,0.00206
mmlu-professional-law.val.856,mistralai/mistral-7b-chat,0.0,5.380000000000001e-05,0.0,5.380000000000001e-05,1.0,8.07e-05,1.0,0.0001614,0.0,0.000208744,1.0,0.0027
mmlu-professional-law.val.645,mistralai/mixtral-8x7b-chat,1.0,0.0001487999999999,0.0,4.9600000000000006e-05,1.0,7.439999999999999e-05,1.0,0.0001487999999999,0.0,0.000192448,1.0,0.00249
mmlu-professional-law.val.465,mistralai/mixtral-8x7b-chat,0.0,0.0001914,0.0,6.38e-05,0.0,9.57e-05,0.0,0.0001914,0.0,0.000247544,0.0,0.0032
mmlu-professional-law.val.517,gpt-4-1106-preview,1.0,0.00303,0.0,6.04e-05,1.0,9.06e-05,1.0,0.0001812,0.0,0.000234352,1.0,0.00303
mmlu-professional-law.val.1053,mistralai/mixtral-8x7b-chat,0.0,0.0002076,0.0,6.919999999999999e-05,1.0,0.0001038,0.0,0.0002076,0.0,0.000268496,1.0,0.00347
mmlu-professional-law.val.480,mistralai/mixtral-8x7b-chat,1.0,0.0001746,0.0,5.8200000000000005e-05,0.0,8.730000000000001e-05,1.0,0.0001746,0.0,0.000225816,1.0,0.00292
mmlu-professional-law.val.959,mistralai/mistral-7b-chat,0.0,4.280000000000001e-05,0.0,4.280000000000001e-05,1.0,6.42e-05,0.0,0.0001284,0.0,0.000166064,0.0,0.00218
mmlu-professional-law.val.1311,mistralai/mistral-7b-chat,0.0,7.1e-05,0.0,7.1e-05,0.0,0.0001064999999999,0.0,0.0002129999999999,0.0,0.00027548,0.0,0.00356
mmlu-professional-law.val.627,mistralai/mistral-7b-chat,0.0,3.4000000000000007e-05,0.0,3.4000000000000007e-05,0.0,5.1e-05,0.0,0.000102,0.0,0.0001319199999999,0.0,0.00174
mmlu-professional-law.val.679,mistralai/mistral-7b-chat,0.0,3.8400000000000005e-05,0.0,3.8400000000000005e-05,0.0,5.76e-05,1.0,0.0001152,0.0,0.0001489919999999,1.0,0.00193
mmlu-professional-law.val.1181,mistralai/mistral-7b-chat,0.0,6.36e-05,0.0,6.36e-05,1.0,9.54e-05,1.0,0.0001908,0.0,0.000246768,1.0,0.00319
mmlu-professional-law.val.1359,mistralai/mistral-7b-chat,0.0,5.1000000000000006e-05,0.0,5.1000000000000006e-05,0.0,7.649999999999999e-05,0.0,0.0001529999999999,0.0,0.00019788,1.0,0.00256
mmlu-professional-law.val.9,mistralai/mistral-7b-chat,1.0,6.2e-05,1.0,6.2e-05,0.0,9.3e-05,1.0,0.000186,0.0,0.00024056,0.0,0.00311
mmlu-professional-law.val.734,mistralai/mixtral-8x7b-chat,1.0,0.0001224,1.0,4.080000000000001e-05,0.0,6.12e-05,1.0,0.0001224,0.0,0.000158304,0.0,0.00208
mmlu-professional-law.val.225,mistralai/mistral-7b-chat,0.0,3.92e-05,0.0,3.92e-05,0.0,5.88e-05,0.0,0.0001176,0.0,0.000152096,1.0,0.00197
