sample_id,phi_prediction,phi_response,oracle_model_to_route
hellaswag.val.4617,mistralai/mistral-7b-chat,"C) Resist the urge to interrupt what they're saying. [substeps] Let them get their entire message across before giving your response.

The correct model is ""C"" because it directly addresses the key aspect of the prompt",zero-one-ai/Yi-34B-Chat
hellaswag.val.2731,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.9797,mistralai/mistral-7b-chat,D,zero-one-ai/Yi-34B-Chat
hellaswag.val.1836,gpt-4-1106-preview,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.2769,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
hellaswag.val.2850,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.3051,gpt-4-1106-preview,gpt-4-1106-preview,meta/llama-2-70b-chat
hellaswag.val.5313,mistralai/mixtral-8x7b-chat,mistralai/mixtral-8x7b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.6662,mistralai/mistral-7b-chat,A) Spray the solution all over your tub and scrub with a long handled bathtub cleaning tool which you can buy almost anywhere cleaning supplies are sold. Here are some other items you might want to help you clean.,mistralai/mistral-7b-chat
hellaswag.val.7889,mistralai/mixtral-8x7b-chat,mistralai/mixtral-8x7b-chat,zero-one-ai/Yi-34B-Chat
hellaswag.val.2580,gpt-4-1106-preview,gpt-4-1106-preview,gpt-4-1106-preview
hellaswag.val.8841,mistralai/mistral-7b-chat,"B) Avoid placing uncomfortable or overly thick blankets on the floor or the table during the massage, however. If the person will be sitting for the entire massage, make sure a low table, such as a chair",zero-one-ai/Yi-34B-Chat
hellaswag.val.6403,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
hellaswag.val.8810,mistralai/mistral-7b-chat,A),mistralai/mistral-7b-chat
hellaswag.val.9743,mistralai/mistral-7b-chat,A) Begin by identifying the reason you don't have a job or why you don't make enough to pay child support : [substeps] Medical illness disability layoff imprisonment other reason [title] Get medical records.,mistralai/mistral-7b-chat
hellaswag.val.4227,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
hellaswag.val.1662,gpt-4-1106-preview,"A) speaks to the camera and begins playing the instrument while a crowd watches.

The correct model to route this prompt to, based on the given information, would be the one with correctness 1 and the lowest cost. Since",WizardLM/WizardLM-13B-V1.2
hellaswag.val.5410,mistralai/mistral-7b-chat,"B) [title] Buy five to seven-ounce packs of bubble bars. [step] If you buy these packs take some time to set a budget, at least one-and be aware of what you are going to charge",mistralai/mistral-7b-chat
